Time,X,Rho,P,U,W
0.000222,28.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,28.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,29.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,29.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,29.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,29.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,29.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,29.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,29.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,29.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,29.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,29.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,30.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,30.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,30.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,30.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,30.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,30.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,30.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,30.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,30.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,30.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,31.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,31.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,31.263602,36.938000,27754941.270153,100.288153,0.000000
0.000222,31.350000,81.971698,75971687.452643,-41.353960,0.000000
0.000222,31.436398,36.938000,27754941.294611,41.353971,0.000000
0.000222,31.547979,42.290229,33418190.667367,-100.288163,0.000000
0.000222,31.652022,42.290155,33418116.281804,0.000153,0.000000
0.000222,31.763610,36.933061,27748994.958332,100.303443,0.000000
0.000222,31.850078,81.783994,75739128.842163,-40.464746,0.000000
0.000222,31.938671,35.660481,26378242.096968,47.352791,0.000000
0.000222,32.069035,32.036769,22792926.087936,17.197769,0.000000
0.000222,32.169084,70.112022,55041439.200699,356.856480,0.106161
0.000222,32.232568,68.524028,51303344.267499,20.594469,0.141065
0.000222,32.342966,28.099922,18875797.245715,-309.424325,0.000000
0.000222,32.450000,76.542211,69213898.937841,-78.642644,0.000000
0.000222,32.557055,28.092456,18870455.298042,78.653285,0.000000
0.000222,32.667684,68.077704,50233530.528994,312.468891,0.151169
0.000222,32.732316,68.077916,50233998.135072,0.000526,0.151164
0.000222,32.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,32.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,33.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,33.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,33.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,33.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,33.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,33.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,33.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,33.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,33.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,33.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,34.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,34.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,34.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,34.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,34.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,34.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,34.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,34.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,34.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,34.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,35.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,35.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,35.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,35.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,35.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,35.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,35.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,35.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,35.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,35.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,36.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,36.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,36.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,36.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,36.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,36.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,36.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,36.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,36.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,36.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,37.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,37.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,37.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,37.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,37.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,37.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,37.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,37.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,37.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,37.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,38.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,38.167684,68.077704,50233530.517967,312.468891,0.151169
0.000222,38.232316,68.077916,50233998.134892,0.000526,0.151164
0.000222,38.342945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,38.450000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,38.557055,28.092455,18870454.988899,78.653016,0.000000
0.000222,38.667684,68.077704,50233530.517967,312.468891,0.151169
0.000222,38.732316,68.077916,50233998.134892,0.000526,0.151164
0.000222,38.842945,28.092444,18870444.222389,-312.469344,0.000000
